season,game_type,team,week,gsis_id,position,full_name,first_name,last_name,report_primary_injury,report_secondary_injury,report_status,practice_primary_injury,practice_secondary_injury,practice_status,date_modified
2017,REG,NYG,1,00-0029545,LB,Keenan Robinson,Keenan,Robinson,Concussion,,Out,Concussion,,Did Not Participate In Practice,2017-09-08T09:26:36Z
2017,REG,NYG,1,00-0031235,WR,Odell Beckham,Odell,Beckham,Ankle,,Questionable,Ankle,,Did Not Participate In Practice,2017-09-08T09:26:55Z
2017,REG,NYJ,1,00-0029316,T,Kelvin Beachum,Kelvin,Beachum,,,,Knee,,Full Participation in Practice,2017-09-08T11:38:23Z
2017,REG,NYJ,1,00-0027963,G,James Carpenter,James,Carpenter,,,,Shoulder,,Full Participation in Practice,2017-09-08T11:38:23Z
2017,REG,NYJ,1,00-0029676,CB,Morris Claiborne,Morris,Claiborne,,,,Shoulder,,Full Participation in Practice,2017-09-08T11:38:23Z
2017,REG,NYJ,1,00-0026184,RB,Matt Forte,Matt,Forte,,,,Knee,,Full Participation in Practice,2017-09-08T11:38:23Z
2017,REG,NYJ,1,00-0033840,WR,Chad Hansen,Chad,Hansen,,,,Shoulder,,Full Participation in Practice,2017-09-08T11:38:23Z
2017,REG,NYJ,1,00-0027987,T,Ben Ijalana,Ben,Ijalana,,,,Knee,,Full Participation in Practice,2017-09-08T11:38:23Z
2017,REG,NYJ,1,00-0032970,LB,Jordan Jenkins,Jordan,Jenkins,,,,Calf,,Full Participation in Practice,2017-09-08T11:38:23Z
2017,REG,NYJ,1,00-0032699,DE,Claude Pelon,Claude,Pelon,,,,Eye,,Full Participation in Practice,2017-09-08T11:38:23Z
2017,REG,NYJ,1,00-0031568,QB,Bryce Petty,Bryce,Petty,,,,Knee,,Full Participation in Practice,2017-09-08T11:38:23Z
2017,REG,NYJ,1,00-0028064,RB,Bilal Powell,Bilal,Powell,,,,Ribs,,Full Participation in Practice,2017-09-08T11:38:23Z
2017,REG,NYJ,1,00-0031690,TE,Eric Tomlinson,Eric,Tomlinson,,,,Concussion,,Full Participation in Practice,2017-09-08T11:38:23Z
2017,REG,NYJ,1,00-0031933,DE,Leonard Williams,Leonard,Williams,,,,Wrist,,Full Participation in Practice,2017-09-08T11:38:23Z
2017,REG,NYJ,1,00-0033953,TE,Jordan Leggett,Jordan,Leggett,Knee,,Out,Knee,,Did Not Participate In Practice,2017-09-08T11:40:48Z
2017,REG,NYJ,1,00-0030170,S,Rontez Miles,Rontez,Miles,Eye,,Out,Eye,,Did Not Participate In Practice,2017-09-08T11:40:58Z
2017,REG,OAK,1,00-0028097,TE,Lee Smith,Lee,Smith,,,,Not Injury Related,,Did Not Participate In Practice,2017-09-06T16:16:39Z
2017,REG,OAK,1,00-0030420,CB,David Amerson,David,Amerson,,,,Concussion,,Full Participation in Practice,2017-09-08T12:30:18Z
2017,REG,OAK,1,00-0031544,WR,Amari Cooper,Amari,Cooper,,,,Knee,,Full Participation in Practice,2017-09-08T12:30:18Z
2017,REG,OAK,1,00-0031040,DE,Khalil Mack,Khalil,Mack,,,,Knee,,Full Participation in Practice,2017-09-08T12:30:18Z
2017,REG,OAK,1,00-0029259,G,Kelechi Osemele,Kelechi,Osemele,,,,Wrist,Ankle,Full Participation in Practice,2017-09-08T12:30:18Z
2017,REG,OAK,1,00-0031347,S,Keith McGill,Keith,McGill,Foot,,Out,Foot,,Did Not Participate In Practice,2017-09-08T12:31:25Z
2017,REG,OAK,1,00-0029492,RB,Jamize Olawale,Jamize,Olawale,Quadricep,,Out,Quadricep,,Did Not Participate In Practice,2017-09-08T12:31:33Z
2017,REG,OAK,1,00-0033882,CB,Gareon Conley,Gareon,Conley,Shin,,Questionable,Shin,,Limited Participation in Practice,2017-09-08T12:30:36Z
2017,REG,OAK,1,00-0033056,LB,Cory James,Cory,James,Knee,,Questionable,Knee,,Limited Participation in Practice,2017-09-08T12:30:36Z
2017,REG,OAK,1,00-0019646,K,Sebastian Janikowski,Sebastian,Janikowski,Back,,Questionable,Back,,Limited Participation in Practice,2017-09-08T12:30:36Z
2017,REG,PHI,1,00-0029567,QB,Nick Foles,Nick,Foles,,,,right Elbow,,Full Participation in Practice,2017-09-08T11:02:26Z
